player,team,games_played,at_bat,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strike_outs,stolen_bases,caught_stealing,batting_avg,on_base_percentage,slugging,ops
LF,,,,,,,,,,,,,,,,,
75,LAD,30,93,16,22,8,1,2,15,18,22,2,0,0.237,0.363,0.409,0.772
MiguelVargas,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
77,CWS,27,87,8,21,8,0,3,9,10,23,0,0,0.241,0.333,0.437,0.77
YasmaniGrandal,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,
77,NYM,31,114,21,25,11,0,5,24,13,34,4,0,0.219,0.323,0.447,0.77
FranciscoLindor,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
77,PIT,28,103,14,28,9,0,2,17,14,20,3,0,0.272,0.353,0.417,0.77
CarlosSantana,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
80,NYY,28,98,13,26,6,1,3,13,8,33,0,1,0.265,0.33,0.439,0.769
DJLeMahieu,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
81,TB,27,96,17,25,5,0,4,19,6,20,0,0,0.26,0.33,0.438,0.768
IsaacParedes,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
82,BAL,30,127,20,32,7,0,8,26,4,28,2,0,0.252,0.271,0.496,0.767
RyanMountcastle,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
83,ATL,31,116,18,28,4,0,6,18,16,37,0,0,0.241,0.333,0.431,0.764
AustinRiley,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
84,CHC,30,130,23,40,5,1,2,17,8,13,11,2,0.308,0.355,0.408,0.763
NicoHoerner,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
85,MIL,29,102,16,25,5,0,5,20,11,34,0,1,0.245,0.319,0.441,0.76
BrianAnderson,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
85,COL,26,102,14,25,6,0,6,16,5,29,0,0,0.245,0.28,0.48,0.76
C.J.Cron,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
85,PHI,27,103,11,28,7,2,3,10,3,27,5,1,0.272,0.294,0.466,0.76
J.T.Realmuto,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,
88,NYY,31,104,16,25,4,1,4,10,17,17,5,4,0.24,0.344,0.413,0.757
GleyberTorres,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
88,DET,26,88,9,25,6,0,2,10,6,24,4,4,0.284,0.337,0.42,0.757
MattVierling,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
90,CIN,31,114,22,32,8,0,1,12,16,20,5,1,0.281,0.378,0.377,0.755
JonathanIndia,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
91,WSH,28,85,13,25,4,1,0,8,9,13,8,0,0.294,0.388,0.365,0.753
VictorRobles,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
92,MIL,29,104,17,24,4,0,5,15,18,32,2,1,0.231,0.339,0.413,0.752
WillyAdames,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
93,SD,31,112,16,27,8,2,3,14,11,27,1,0,0.241,0.315,0.429,0.744
JakeCronenworth,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
93,AZ,28,105,15,29,7,1,2,14,7,18,1,0,0.276,0.325,0.419,0.744
LourdesGurriel,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
93,OAK,26,92,13,20,2,1,6,16,6,28,0,0,0.217,0.287,0.457,0.744
SheaLangeliers,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,
96,SEA,27,113,18,27,6,1,5,13,8,34,6,4,0.239,0.301,0.442,0.743
JulioRodriguez,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
97,TOR,24,85,10,25,8,0,0,10,8,15,4,1,0.294,0.354,0.388,0.742
WhitMerrifield,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
98,PHI,32,119,13,32,7,0,3,23,10,24,1,1,0.269,0.336,0.403,0.739
AlecBohm,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
99,STL,29,95,12,25,6,0,2,11,12,22,2,1,0.263,0.349,0.389,0.738
WillsonContreras,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,
100,PHI,31,135,10,41,7,0,2,11,6,25,3,1,0.304,0.331,0.4,0.731
BrysonStott,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
101,HOU,31,123,21,29,7,0,6,17,5,34,6,1,0.236,0.288,0.439,0.727
JeremyPena,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
102,PHI,32,115,18,22,4,0,7,13,19,38,0,0,0.191,0.316,0.409,0.725
KyleSchwarber,,,,,,,,,,,,,,,,,
DH,,,,,,,,,,,,,,,,,
103,MIA,29,102,11,21,8,0,5,10,10,29,0,0,0.206,0.289,0.431,0.72
JorgeSoler,,,,,,,,,,,,,,,,,
DH,,,,,,,,,,,,,,,,,
103,CIN,28,104,14,25,6,1,3,10,10,28,1,1,0.24,0.316,0.404,0.72
SpencerSteer,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
105,MIA,24,92,5,25,2,1,3,13,4,29,0,0,0.272,0.306,0.413,0.719
GarrettCooper,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
105,MIN,30,99,12,23,3,1,3,19,18,38,0,1,0.232,0.345,0.374,0.719
TrevorLarnach,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
105,COL,29,103,12,23,8,0,4,14,12,42,1,1,0.223,0.302,0.417,0.719
RyanMcMahon,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
108,BOS,32,119,14,31,6,0,2,10,14,17,1,0,0.261,0.355,0.361,0.716
JustinTurner,,,,,,,,,,,,,,,,,
DH,,,,,,,,,,,,,,,,,
109,CLE,30,108,7,23,9,0,3,14,20,26,0,1,0.213,0.333,0.38,0.713
JoshBell,,,,,,,,,,,,,,,,,
DH,,,,,,,,,,,,,,,,,
109,SEA,29,87,14,20,7,0,1,9,19,22,1,0,0.23,0.368,0.345,0.713
J.P.Crawford,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
111,NYM,29,95,14,22,6,0,3,10,12,20,2,0,0.232,0.321,0.389,0.71
MarkCanha,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
111,HOU,26,109,20,33,7,1,0,6,3,12,3,0,0.303,0.325,0.385,0.71
MauricioDubon,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
113,MIA,30,112,11,27,2,1,5,13,8,43,11,2,0.241,0.298,0.411,0.709
JazzChisholm,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
114,CWS,30,113,15,25,6,0,6,16,5,34,1,0,0.221,0.267,0.434,0.701
LuisRobert,,,,,,,,,,,,,,,,,
CF,,,,,,,,,,,,,,,,,
115,CLE,31,122,15,34,4,1,0,11,18,15,8,1,0.279,0.366,0.328,0.694
StevenKwan,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
115,AZ,25,91,15,26,8,0,0,17,6,20,3,0,0.286,0.32,0.374,0.694
JoshRojas,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
115,PHI,32,135,19,35,5,2,3,8,8,35,4,0,0.259,0.301,0.393,0.694
TreaTurner,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
115,NYY,32,102,13,23,3,1,3,9,16,33,10,0,0.225,0.331,0.363,0.694
AnthonyVolpe,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
119,CIN,29,85,9,20,4,0,2,17,13,21,3,1,0.235,0.34,0.353,0.693
JakeFraley,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
120,CHC,27,95,11,25,2,0,3,15,6,29,0,0,0.263,0.311,0.379,0.69
TreyMancini,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
121,SD,30,95,10,21,5,0,3,9,13,26,5,1,0.221,0.321,0.368,0.689
